War and Peace	Leo Tolstoy
The Importance of Being Earnest	Oscar Wilde
Romans -- Volume 3: Micromegas	Voltaire
Dracula	Bram Stoker
Grimms' Fairy Tales	The Brothers Grimm
Siddhartha	Herman Hesse
A Tale of Two Cities	Charles Dickens
Beowulf	 
Steam, Its Generation and Use	Babcock & Wilcox Co.
Jane Eyre	Charlotte Bronte
Gulliver's Travels	Jonathan Swift
Great Expectations	Charles Dickens
The Republic	Plato
The Kama Sutra of Vatsyayana	Vatsyayana
Sylvie and Bruno (Illustrated)	Lewis Carroll
The Picture of Dorian Gray	Oscar Wilde
Wuthering Heights	Emily Bronte
The Divine Comedy, Complete	Dante Alighieri
Ulysses	James Joyce
Frankenstein	Mary Wollstonecraft (Godwin) Shelley
The Adventures of Tom Sawyer, Complete	Mark Twain (Samuel Clemens)
Peter Pan	James M. Barrie
Alice's Adventures in Wonderland	Lewis Carroll
Moby Dick; or The Whale	Herman Melville
The Prince	Nicolo Machiavelli
A System of Pyrotechny	James Cutbush
Sense and Sensibility	Jane Austen
The Romance of Lust	Anonymous
Adventures of Huckleberry Finn, Complete	Mark Twain (Samuel Clemens)
Metamorphosis	Franz Kafka
Leaves of Grass	Walt Whitman
The Iliad of Homer	Homer
Pride and Prejudice	Jane Austen
The Adventures of Sherlock Holmes	Arthur Conan Doyle
A Doll's House	Henrik Ibsen
Emma	Jane Austen
Les Miserables	Victor Hugo
Dubliners	James Joyce
